beds,full_baths,half_baths,sqft,year_built,sold_price,new_construction,lot_sqft,stories,hoa_fee,parking_garage,sale_month,has_hoa,has_garage,style_CONDO,style_CONDOS,style_SINGLE_FAMILY,style_TOWNHOMES,city_Anderson Township,city_Cincinnati,city_Colerain Township,city_Columbia Township,city_Deer Park,city_Deerfield Township,city_Delhi Township,city_Elmwood Place,city_Evendale,city_Fairfax,city_Forest Park,city_Golf Manor,city_Green Township,city_Greenhills,city_Hamilton,city_Indian Hill,city_Lincoln Heights,city_Lockland,city_Madeira,city_Mariemont,city_Miami Township,city_Mount Healthy,city_North College Hill,city_Norwood,city_Pierce Township,city_Reading,city_Sharonville,city_Silverton,city_Springdale,city_Springfield Township,city_Sycamore Township,city_Symmes Township,city_Union Township,city_Woodlawn,zip_code_45202,zip_code_45203,zip_code_45204,zip_code_45205,zip_code_45206,zip_code_45207,zip_code_45208,zip_code_45209,zip_code_45211,zip_code_45212,zip_code_45213,zip_code_45214,zip_code_45215,zip_code_45216,zip_code_45217,zip_code_45218,zip_code_45219,zip_code_45220,zip_code_45223,zip_code_45224,zip_code_45225,zip_code_45226,zip_code_45227,zip_code_45229,zip_code_45230,zip_code_45231,zip_code_45232,zip_code_45233,zip_code_45236,zip_code_45237,zip_code_45238,zip_code_45239,zip_code_45240,zip_code_45241,zip_code_45242,zip_code_45243,zip_code_45244,zip_code_45245,zip_code_45246,zip_code_45247,zip_code_45248,zip_code_45249,zip_code_45251,zip_code_45252,zip_code_45255,county_Clermont,county_Darke,county_Hamilton,county_Montgomery,county_Warren,sale_season_Spring,sale_season_Summer,sale_season_Winter
2.0,1.0,0,1518.0,1955.0,130000,0,6752.0,1.0,0.0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4.0,2.0,2,2763.0,2001.0,505000,0,14375.0,2.0,8.0,2,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,2.0,0,1243.0,1937.0,295000,0,24306.0,2.0,0.0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4.0,2.0,0,1875.0,1957.0,305000,0,6926.0,2.0,0.0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2.0,2.0,1,1744.0,2005.0,327000,0,697.0,3.0,200.0,2,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,2.0,1,1820.0,1980.0,320000,0,12284.0,2.0,0.0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5.0,2.0,0,1810.0,1914.0,125000,0,5184.0,3.0,0.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,1.0,1,988.0,1964.0,154000,0,5532.0,1.0,0.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4.0,2.0,1,2323.0,1932.0,265000,0,7449.0,2.0,0.0,2,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4.0,2.0,1,1872.0,1965.0,307500,0,7710.0,2.0,0.0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
